Name,Suburb,Postcode,School Level
Errington Special Education Centre,Plympton,5038,Primary/Secondary Special Schools
The Briars Special Early Learning Centre,Felixstow,5070,Special Preschools
Bowden Brompton Community School,Brompton,5007,Alternative Prim/Sec Schools
John Hartley School B-7 Children's Centre,Smithfield Plains,5114,Children's Centres
Arbury Park Outdoor School,Bridgewater,5155,Ancillary Education Establishments
Riverdale Primary School,Salisbury Downs,5108,Primary Schools
The Heights School,Modbury Heights,5092,Primary/Secondary Schools
Burra Community School,Burra,5417,Area Schools
Mark Oliphant College Children's Centre,Munno Para,5115,Children's Centres
Craigmore South Primary School,Craigmore,5114,Primary Schools
